Nome;Nazione;Citta;Indirizzo;Latitudine;Longitudine;Fascia_di_prezzo;Delivery;Online;Tipo_di_cucina
SA 0ZANNE;Japan;Tokyo;7F Four Seasons Hotel Tokyo at Marunouchi 1-11-1 Marunouchi Chiyoda-ku Tokyo 100-6277 Japan;35.678.083;139.767.155;1000;No;No;French Contemporary
Harutaka;Japan;Tokyo;6F 8-3-1 Ginza Chuo-ku Tokyo 104-0061 Japan;35.669.269;139.759.203;1000;No;No;Sushi
L OSIER;Japan;Tokyo;7-5-5 Ginza Chuo-ku Tokyo 104-0061 Japan;35.669.667;139.761.203;1000;No;No;French French Contemporary
Kagurazaka Ishikawa;Japan;Tokyo;5-37 Kagurazaka Shinjuku-ku Tokyo 162-0825 Japan;35.701.212;139.739.466;1000;No;No;Japanese
RyuGin;Japan;Tokyo;7F Tokyo Midtown Hibiya 1-1-2 Yurakucho Chiyoda-ku Tokyo 100-0006 Japan;35.673.583;139.759.193;1000;No;No;Japanese
L Effervescence;Japan;Tokyo;2-26-4 Nishiazabu Minato-ku Tokyo 106-0031 Japan;35.660.299;139.719.454;1000;No;No;French Contemporary
JoA l Robuchon;Japan;Tokyo;Yebisu Garden Place 1-13-1 Mita Meguro-ku Tokyo 153-0062 Japan;35.641.903;139.714.528;1000;No;No;French Contemporary
Quintessence;Japan;Tokyo;1F Garden City Shinagawa Gotenyama 6-7-29 Kitashinagawa Shinagawa-ku Tokyo 141-0001 Japan;35.624.038;139.732.977;1000;No;No;French Contemporary
Sazenka;Japan;Tokyo;4-7-5 Minamiazabu Minato-ku Tokyo 106-0047 Japan;35.649.578;139.728.395;1000;No;No;Chinese
Xin Rong Ji Xinyuan South Road;China Mainland;Beijing;1F East Tower Genesis Beijing 8 Xinyuan South Road Chaoyang Beijing China Mainland;3.994.638;116.450.148;1000;No;No;Taizhou
Chao Shang Chao Chaoyang;China Mainland;Beijing;L406B 4F CP Center 20 Jinhe East Road Chaoyang Beijing China Mainland;39.910.992;116.461.892;1000;No;No;Chao Zhou
De Librije;Netherlands;Zwolle;Spinhuisplein 1 Zwolle 8011 ZZ Netherlands;525.153.644;60.980.183;1000;No;No;Modern Cuisine
TaA-rroir;Taiwan;Taipei;6F 299 Lequn 3rd Road Zhongshan District Taipei 104 Taiwan;25.082.896;121.559.303;1000;No;No;Taiwanese contemporary
JL Studio;Taiwan;Taichung;2F 689 Section 4 Yifeng Road Nantun District Taichung 408 Taiwan;241.504.863;1.206.285.199;1000;No;No;Singaporean Contemporary
Le Palais;Taiwan;Taipei;17F Palais de Chine Hotel 3 Section 1 Chengde Road Datong District Taipei 103 Taiwan;250.491.625;1.215.168.892;1000;No;No;Cantonese
Addison;USA;San Diego;5200 Grand Del Mar Way San Diego 92130 USA;329.412.972;-1.171.988.908;1000;No;No;Contemporary Californian
Atelier Crenn;USA;San Francisco;3127 Fillmore St San Francisco 94123 USA;3.779.835;-12.243.586;1000;No;No;Contemporary French
The French Laundry;USA;Yountville;6640 Washington St Yountville 94599 USA;3.840.443;-12.236.474;1000;No;No;Contemporary French
Quince;USA;San Francisco;470 Pacific Ave San Francisco 94133 USA;377.975.054;-1.224.032.607;1000;No;No;Contemporary Californian
SingleThread;USA;Healdsburg;131 North St Healdsburg 95448 USA;386.122.599;-1.228.697.229;1000;No;No;Contemporary Californian
Benu;USA;San Francisco;22 Hawthorne St San Francisco 94105 USA;377.853.763;-1.223.990.601;1000;No;No;Asian Contemporary
ZA c n;Singapore;Singapore;41 Bukit Pasoh Road 089855 Singapore;12.796.271;10.384.042;1000;No;No;European Contemporary
Odette;Singapore;Singapore;National Gallery 01-04 1 St Andrew s Road entrance via Supreme Court wing s foyer 178957 Singapore;12.896.459;1.038.516;1000;No;No;French Contemporary
Les Amis;Singapore;Singapore;Shaw Centre 01-16 1 Scotts Road 228208 Singapore;130.626;10.383.204;1000;No;No;French
HiA a Franko;Slovenia;Kobarid;Staro selo 1 Kobarid 5222 Slovenia;462.472.961;135.382.362;1000;No;No;Creative Regional Cuisine
FrantzA c n;Sweden;Stockholm;Klara Norra Kyrkogata 26 Stockholm 111 22 Sweden;593.341.673;180.597.575;1000;No;No;Modern Cuisine
noma;Denmark;Copenhagen;Refshalevej 96 Copenhagen 1432 K Denmark;556.832.166;126.104.224;1000;No;No;Creative
JordnA r;Denmark;Gentofte;Gentoftegade 29 Gentofte 2800 Denmark;557.481.416;125.412.347;1000;No;No;Creative
Geranium;Denmark;Copenhagen;Per Henrik Lings AllA c 4 Parken National Stadium Copenhagen 2100 A Denmark;55.703.472;125.720.951;1000;No;No;Creative Contemporary
RE-NAA;Norway;Stavanger;NordbA gata 8 Stavanger 4006 Norway;589.739.705;57.308.447;1000;No;No;Creative Seafood
Maaemo;Norway;Oslo;Dronning Eufemias gate 23 Oslo 0194 Norway;599.075.293;107.586.363;1000;No;No;Modern Cuisine Creative
Taian;Japan;Osaka;1-21-2 Shimanochi Chuo-ku Osaka 542-0082 Japan;34.673.353;135.507.205;1000;No;No;Japanese
Hyotei;Japan;Kyoto;35 Nanzenji Kusagawacho Sakyo-ku Kyoto 606-8437 Japan;35.011.355;135.786.742;1000;No;No;Japanese
HAJIME;Japan;Osaka;1-9-11 Edobori Nishi-ku Osaka 550-0002 Japan;34.688.612;135.496.084;1000;No;No;Innovative
Kikunoi Honten;Japan;Kyoto;459 Shimokawaracho Higashiyama-ku Kyoto 605-0825 Japan;35.001.535;135.782.079;1000;No;No;Japanese
Isshisoden Nakamura;Japan;Kyoto;136 Matsushitacho Nakagyo-ku Kyoto 604-8093 Japan;35.010.397;135.765.083;1000;No;No;Japanese
Mizai;Japan;Kyoto;613 Maruyamacho Higashiyama-ku Kyoto 605-0071 Japan;35.002.993;135.782.364;1000;No;No;Japanese
Gion Sasaki;Japan;Kyoto;566-27 Komatsucho Higashiyama-ku Kyoto 605-0811 Japan;34.998.881;135.775.049;1000;No;No;Japanese
Kashiwaya Osaka Senriyama;Japan;Osaka;2-5-18 Senriyamanishi Suita Osaka 565-0851 Japan;34.770.287;135.501.289;1000;No;No;Japanese
ES SENZ;Germany;Grassau;Mietenkamer StraAYe 65 Grassau 83224 Germany;477.856.302;124.656.176;1000;No;No;Creative Modern Cuisine
Waldhotel Sonnora;Germany;Dreis;Auf m Eichelfeld 1 Dreis 54518 Germany;499.377.323;68.109.342;1000;No;No;Classic French
The Table Kevin Fehling;Germany;Hamburg;Shanghaiallee 15 Hamburg 20457 Germany;535.426.398;100.028.597;1000;No;No;Creative International
Aqua;Germany;Wolfsburg;ParkstraAYe 1 Wolfsburg 38440 Germany;524.328.494;107.899.785;1000;No;No;Creative Modern Cuisine
JAN;Germany;Munich;LuisenstraAYe 27 Munich 80333 Germany;481.447.975;115.629.878;1000;No;No;Creative Modern Cuisine
Restaurant Bareiss;Germany;Baiersbronn;Hermine-Bareiss-Weg 1 Baiersbronn 72270 Germany;485.205.845;83.269.876;1000;No;No;Classic French
Rutz;Germany;Berlin;ChausseestraAYe 8 Berlin 10115 Germany;525.283.507;133.860.867;1000;No;No;Modern Cuisine Creative
Victor s Fine Dining by christian bau;Germany;Perl;SchlossstraAYe 27 Perl 66706 Germany;495.351.732;63.872.109;1000;No;No;Creative Contemporary
schanz restaurant;Germany;Piesport;BahnhofstraAYe 8a Piesport 54498 Germany;498.776.003;69.266.002;1000;No;No;Modern French Creative
Schwarzwaldstube;Germany;Baiersbronn;TonbachstraAYe 237 Baiersbronn 72270 Germany;485.369.113;83.582.803;1000;No;No;Classic French Creative
La Table du Castellet;France;Le Castellet;3001 route des Hauts-du-Camp au Circuit Paul Ricard Le Castellet 83330 France;432.499.288;57.838.874;1000;No;No;Creative
PlA c nitude - Cheval Blanc Paris;France;Paris;8 quai du Louvre Paris 75001 France;488.588.148;23.421.588;1000;No;No;Creative
Le Petit Nice;France;Marseille;Anse de MaldormA c Marseille 13007 France;432.802.565;53.520.484;1000;No;No;Seafood
Mirazur;France;Menton;30 avenue Aristide-Briand Menton 06500 France;437.859.304;75.280.514;1000;No;No;Creative
AM par Alexandre Mazzia;France;Marseille;9 rue FranASSois-Rocca Marseille 13008 France;432.701.104;53.862.325;1000;No;No;Creative
Pic;France;Valence;285 avenue Victor-Hugo Valence 26000 France;449.176.875;48.855.601;1000;No;No;Creative
Pierre Gagnaire;France;Paris;6 rue Balzac Paris 75008 France;488.732.506;23.003.862;1000;No;No;Creative
Flocons de Sel;France;MegA ve;1775 route du Leutaz Le Leutaz MegA ve 74120 France;458.302.404;65.969.625;1000;No;No;Modern Cuisine
AllA c no Paris au Pavillon Ledoyen;France;Paris;8 avenue Dutuit Paris 75008 France;488.660.932;23.164.993;1000;No;No;Creative
L Ambroisie;France;Paris;9 place des Vosges Paris 75004 France;48.855.494;23.645.215;1000;No;No;Classic Cuisine
Le PrA c Catelan;France;Paris;Route de Suresnes - bois de Boulogne Paris 75016 France;488.639.374;22.507.182;1000;No;No;Creative Contemporary
Le Cinq;France;Paris;Four Seasons Hotel George V 31 avenue George-V Paris 75008 France;488.687.604;23.008.612;1000;No;No;Modern Cuisine
Maison Lameloise;France;Chagny;36 place d Armes Chagny 71150 France;469.078.385;47.529.917;1000;No;No;Modern Cuisine
Le Gabriel - La RA c serve Paris;France;Paris;La RA c serve Paris 42 avenue Gabriel Paris 75008 France;488.697.309;23.132.078;1000;No;No;Creative
A 0picure;France;Paris;Le Bristol 112 rue du Faubourg-Saint-HonorA c Paris 75008 France;488.717.223;23.145.978;1000;No;No;Modern Cuisine
ArpA ge;France;Paris;84 rue de Varenne Paris 75007 France;488.557.538;23.170.127;1000;No;No;Creative
Le Louis XV - Alain Ducasse A l HA tel de Paris;France;Monaco;Place du Casino Monaco 98000 France;437.391.839;74.271.047;1000;No;No;Mediterranean Cuisine Modern Cuisine
Restaurant Marcon;France;Saint-Bonnet-le-Froid;Larsiallas 18 chemin de Brard Saint-Bonnet-le-Froid 43290 France;451.386.734;44.342.679;1000;No;No;Creative
Kei;France;Paris;5 rue du Coq-HA c ron Paris 75001 France;488.643.947;23.422.847;1000;No;No;Modern Cuisine Creative
Les PrA c s d EugA c nie - Michel GuA c rard;France;EugA c nie-les-Bains;Place de l ImpA c ratrice EugA c nie-les-Bains 40320 France;43.696.604;-0.3797229;1000;No;No;Classic Cuisine
Auberge du Vieux Puits;France;Fontjoncouse;5 avenue Saint-Victor Fontjoncouse 11360 France;430.481.728;27.893.292;1000;No;No;Creative
L Oustau de BaumaniA re;France;Les Baux-de-Provence;Mas de BaumaniA re Les Baux-de-Provence 13520 France;437.402.659;47.873.628;1000;No;No;Creative
La Vague d Or - Cheval Blanc St-Tropez;France;Saint-Tropez;Plage de la Bouillabaisse Saint-Tropez 83990 France;432.665.849;66.261.535;1000;No;No;Creative
Assiette Champenoise;France;Reims;40 avenue Paul-Vaillant-Couturier A Tinqueux Reims 51430 France;492.478.347;40.032.666;1000;No;No;Creative
Troisgros - Le Bois sans Feuilles;France;Ouches;728 route de Villerest Ouches 42155 France;4.601.033;399.236;1000;No;No;Creative
Georges Blanc;France;Vonnas;Place du MarchA c Vonnas 01540 France;462.201.083;49.894.987;1000;No;No;Classic Cuisine
Le 1947 A Cheval Blanc;France;Courchevel;Cheval Blanc Le Jardin Alpin Courchevel 1850 Courchevel 73120 France;454.094.877;66.338.696;1000;No;No;Creative
La Marine;France;L HerbaudiA re;3 rue Marie-Lemonnier L HerbaudiA re 85330 France;470.237.104;-22.999.341;1000;No;No;Creative Seafood
La Villa Madie;France;Cassis;Avenue de Revestel Cassis 13260 France;432.110.889;5.544.944;1000;No;No;Creative
Le Clos des Sens;France;Annecy;13 rue Jean-Mermoz - A Annecy-le-Vieux Annecy 74940 France;459.176.317;61.445.765;1000;No;No;Creative
Ta Vie;Hong Kong;Hong Kong;2F The Pottinger Hotel 21 Stanley Street Central Hong Kong Hong Kong SAR China;22.282.766;11.415.529;1000;No;No;Innovative
Caprice;Hong Kong;Hong Kong;6F Four Seasons Hotel 8 Finance Street Central Hong Kong;222.866.489;1.141.566.097;1000;No;No;French Contemporary
8 1 2 Otto e Mezzo - Bombana;Hong Kong;Hong Kong;Shop 202 2F Alexandra House 18 Chater Road Central Hong Kong Hong Kong SAR China;222.814.635;11.415.867;1000;No;No;Italian
Jade Dragon;Macau;Macau;2F The Shops at the Boulevard City of Dreams Estrada do Istmo Cotai Macau;22.149.137;11.356.715;100;No;No;Cantonese
Forum;Hong Kong;Hong Kong;1F Sino Plaza 255-257 Gloucester Road Causeway Bay Hong Kong;222.813.972;1.141.821.905;1000;No;No;Cantonese
Robuchon au DA me;Macau;Macau;43F Grand Lisboa Hotel Avenida de Lisboa Macau Macau;22.189.949;11.354.395;1000;No;No;French Contemporary
T ang Court;Hong Kong;Hong Kong;1-2F The Langham Hotel 8 Peking Road Tsim Sha Tsui Hong Kong Hong Kong SAR China;22.296.572;1.141.698;100;No;No;Cantonese
Sushi Shikon;Hong Kong;Hong Kong;7F The Landmark Mandarin Oriental Hotel 15 Queen s Road Central Central Hong Kong;222.806.103;1.141.577.893;1000;No;No;Sushi
Zilte;Belgium;Antwerpen;Hanzestedenplaats 5 Antwerpen 2000 Belgium;51.228.828;44.047.543;1000;No;No;Creative
Boury;Belgium;Roeselare;Rumbeeksesteenweg 300 Roeselare 8800 Belgium;509.374.466;31.403.981;1000;No;No;Creative French
Kojima;South Korea;Seoul;6F Boon the Shop 21 Apgujeong-ro 60-gil Gangnam-gu Seoul 06016 South Korea;3.752.559;12.704.193;1000;No;No;Sushi
La Yeon;South Korea;Seoul;23F Shilla Hotel 249 Dongho-ro Jung-gu Seoul 04605 South Korea;37.555.813;12.700.517;1000;No;No;Korean Modern Cuisine
Evett;South Korea;Seoul;10-5 Dosan-daero 45-gil Gangnam-gu Seoul 06021 South Korea;3.752.334;1.270.362;1000;No;No;Innovative Korean
Kwonsooksoo;South Korea;Seoul;4F 37 Apgujeong-ro 80-gil Gangnam-gu Seoul 06016 South Korea;3.752.437;12.704.355;1000;No;No;Korean
SoignA c;South Korea;Seoul;201 2F Sinsa square 652 Gangnam-daero Gangnam-gu Seoul 06027 South Korea;3.751.933;12.701.903;1000;No;No;Innovative
Jungsik;South Korea;Seoul;11 Seolleung-ro 158-gil Gangnam-gu Seoul 06014 South Korea;37.525.584;127.041.069;1000;No;No;Contemporary
alla prima;South Korea;Seoul;13 Hakdong-ro 17-gil Gangnam-gu Seoul 06045 South Korea;3.751.346;12.702.602;1000;No;No;Innovative
Mitou;South Korea;Seoul;24 Dosan-daero 70-gil Gangnam-gu Seoul 06064 South Korea;3.752.206;12.704.502;1000;No;No;Japanese
Restaurant Allen;South Korea;Seoul;2F Center field EAST E205 231 Teheran-ro Gangnam-gu Seoul 06142 South Korea;375.036;1.270.418;1000;No;No;Contemporary Seasonal Cuisine
Il Gallo d Oro;Portugal;Funchal;Estrada Monumental 147 Funchal 9004-532 Portugal;326.382.988;-169.266.478;1000;No;No;Modern Cuisine
Casa de ChA da Boa Nova;Portugal;LeASSa da Palmeira;Avenida da Liberdade LeASSa da Palmeira 4450-705 Portugal;412.027.411;-87.147.233;1000;No;No;Seafood
Antiqvvm;Portugal;Porto;Rua de Entre Quintas 220 Porto 4050-240 Portugal;4.114.776;-862.831;1000;No;No;Creative
The Yeatman;Portugal;Vila Nova de Gaia;Rua do Choupelo Santa Marinha Vila Nova de Gaia 4400-088 Portugal;411.336.845;-86.133.869;1000;No;No;Creative
Vila Joya;Portugal;Albufeira;Estrada da GalA c Albufeira 8200-416 Portugal;3.708.059;-831.367;1000;No;No;Modern Cuisine
Ocean;Portugal;Porches;Rua Anneliese Pohl Porches 8400-450 Portugal;371.008.268;-83.792.041;1000;No;No;Creative
Alma;Portugal;Lisbon;Rua Anchieta 15 Lisbon 1200-023 Portugal;38.710.152;-9.141.106;1000;No;No;Creative
Belcanto;Portugal;Lisbon;Rua Serpa Pinto 10A Lisbon 1200-026 Portugal;387.104.102;-91.415.741;1000;No;No;Creative Portuguese
ION Harbour by Simon Rogan;Malta;Valletta;11 St Barbara Bastion Valletta VLT 1961 Malta;358.962.481;145.141.768;1000;No;No;Contemporary Mediterranean Cuisine
Chapter One by Mickael Viljanen;Ireland;Dublin City;18-19 Parnell Square North Rotunda Dublin City D01 T3V8 Ireland;53.354.379;-62.639.708;1000;No;No;Modern Cuisine
The Glenturret Lalique;United Kingdom;Crieff;The Glenturret Distillery The Hosh Torreglen Crieff PH7 4HA United Kingdom;563.890.265;-38.527.163;1000;No;No;Modern Cuisine
hide and fox;United Kingdom;Saltwood;The Green Saltwood CT21 4PS United Kingdom;510.805.389;10.762.788;1000;No;No;Modern British
Humble Chicken;United Kingdom;London;54 Frith Street Soho London W1D 4SL United Kingdom;515.138.258;-0.1317621;1000;No;No;Japanese
dede;Ireland;Baltimore;Customs House Baltimore P81 K291 Ireland;514.835.036;-93.725.309;1000;No;No;Turkish Creative
Trivet;United Kingdom;London;36 Snowsfields Southwark London SE1 3SU United Kingdom;51.502.205;-0.084674;1000;No;No;Modern Cuisine
Da Terra;United Kingdom;London;8 Patriot Square Bethnal Green London E2 9NF United Kingdom;51.530.411;-0.05607;1000;No;No;Creative
Liath;Ireland;Blackrock;Blackrock Market 19a Main Street Blackrock A94 C8Y1 Ireland;533.011.683;-6.178.472;1000;No;No;Creative
Midsummer House;United Kingdom;Cambridge;Midsummer Common Cambridge CB4 1HA United Kingdom;522.120.545;0.1284006;1000;No;No;Creative
Hand and Flowers;United Kingdom;Marlow;126 West Street Marlow SL7 2BP United Kingdom;515.696.616;-0.7836567;1000;No;No;Modern British
Gymkhana;United Kingdom;London;42 Albemarle Street Mayfair London W1S 4JH United Kingdom;515.085.431;-0.141547;1000;No;No;Indian
Story;United Kingdom;London;199 Tooley Street Southwark London SE1 2JX United Kingdom;515.028.085;-0.077787;1000;No;No;Modern Cuisine
Restaurant Andrew Fairlie;United Kingdom;Auchterarder;Auchterarder PH3 1NF United Kingdom;562.832.316;-37.517.344;1000;No;No;Modern French
Alex Dilling at Hotel CafA c Royal;United Kingdom;London;68 Regent Street Soho London W1B 4DY United Kingdom;515.100.201;-0.1359557;1000;No;No;Modern French
